permno,ticker,comnam
10051,SEQL,SEQUEL CORP
10051,SEQL,SEQUEL CORP
10051,HOGG,HANGER ORTHOPEDIC GROUP INC
10051,HNGR,HANGER ORTHOPEDIC GROUP INC
10051,HNGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER ORTHOPEDIC GROUP INC
10051,HGR,HANGER INC
10051,,HANGER INC
10051,HNGR,HANGER INC
10051,HNGR,HANGER INC
10052,VLVL,VIDEO LIBRARY INC
10053,CDNI,CARDINAL INDUSTRIES INC
10054,BNUI,BIO NUTRIONICS INC
10055,GRAR,GREAT AMERICAN RECREATION INC
10055,GRAR,GREAT AMERICAN RECREATION INC
10056,NMSB,NEW MILFORD SAVINGS BANK
10056,NMSB,NEW MILFORD SAVINGS BANK
10056,NMSB,NEWMIL BANCORP INC
10056,NMSB,NEWMIL BANCORP INC
10056,NMIL,NEWMIL BANCORP INC
10057,,NATIONAL ACME CO
10057,NCM,NATIONAL ACME CO
10057,AMT,ACME CLEVELAND CORP
10057,AMT,ACME CLEVELAND CORP NEW
10058,ABKC,A B K C O INDUSTRIES INC
10058,,A B K C O INDUSTRIES INC
10058,ABKC,A B K C O INDUSTRIES INC
10059,OFSLY,ORANGE FREE STATE INVESTMENT LTD
10060,FSCNY,FREE STATE CONSOL GOLD CO LTD
10061,USBK,UNITED SAVINGS BANK VIENNA VA
10061,USBK,UNITED SAVINGS BANK VIENNA VA
10062,NOAX,NORTHEAST OHIO AXLE INC
10062,NOAX,N E O A X INC
10062,ENSO,ENVIROSOURCE INC
10062,ENSO,ENVIROSOURCE INC
10063,NMRC,N M R CENTERS INC
10063,AHTS,AMERICAN HEALTH SVCS CORP
10064,TTOY,TYCO TOYS INC
10064,TTI,TYCO TOYS INC
10065,,ADAMS EXPRESS CO
10065,,ADAMS EXPRESS CO
10065,ADX,ADAMS EXPRESS CO
10065,ADX,ADAMS EXPRESS CO
10065,ADX,ADAMS EXPRESS CO
10065,ADX,ADAMS EXPRESS CO
10066,ABMC,ABM COMPUTER SYS
10066,FTCO,FRANKLIN TELECOMMUNICATIONS CORP
10066,,FRANKLIN TELECOMMUNICATIONS CORP
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP
10066,FCM,FRANKLIN TELECOMMUNICATIONS CORP
10066,,FRANKLIN TELECOMMUNICATIONS CORP
10066,,FRANKLIN WIRELESS CORP
10066,FKWL,FRANKLIN WIRELESS CORP
10067,HYGA,HYGEIA SCIENCES INC
10068,APGI,AMERICAN PROPERTY GROUPS INC
10069,AJIL,ACA JOE INTERCON LTD
10070,DIGT,DIGITEXT INC
10071,ABSB,ALEX BROWN INC
10071,AB,ALEX BROWN INC
10072,DEWS,DEWS LABORATORIES INC
10072,SMRX,SUMMA RX LABORATORIES INC
10072,,SUMMA RX LABORATORIES INC
10072,SMRX,SUMMA RX LABORATORIES INC
10073,,ADVANCE RUMELY CO
10073,,ADVANCE RUMELY CORP
10074,ABSI,A B S INDUSTRIES INC
10074,ABSI,A B S INDUSTRIES INC
10075,VWRX,V W R CORP
10075,VWRX,V W R SCIENTIFIC PRODUCTS CORP
10076,SCAT,SCAT HOVERCRAFT INC
10077,STRS,SPROUSE REITZ STORES INC
10078,SUNW,SUN MICROSYSTEMS INC
10078,JAVA,SUN MICROSYSTEMS INC
10078,JAVA,SUN MICROSYSTEMS INC
10079,GCCC,GENERAL COMPUTER CORP
10080,MHCO,MOORE HANDLEY INC
10080,MHCO,MOORE HANDLEY INC
10081,,AHUMADA LEAD CO
10082,ACSE,A C S ENTERPRISE INC
10082,ACSE,A C S ENTERPRISE INC
10082,,A C S ENTERPRISE INC
10082,ACSE,A C S ENTERPRISES
10083,TKAI,TEKNOWLEDGE INC
10083,CMTK,CIMFLEX TEKNOWLEDGE CORP
10084,CRCC,CRAFTMATIC CONTOUR INDS INC
10084,CRCC,CRAFTMATIC INDUSTRIES INC
10085,UICI,UNITED INSURANCE COS INC
10085,UICI,U I C I
10085,UCI,U I C I
10086,LBSC,L S B BANCSHARES INC SC
10087,BUTI,BEAUTICONTROL COSMETICS INC
10088,VRBB,V R BUSINESS BROKERS INC
10089,SYNR,SYNERCOM TECHNOLOGY INC
10089,ATGI,ALPHA TECHNOLOGIES GROUP INC
10089,ATGI,ALPHA TECHNOLOGIES GROUP INC
10090,AMSE,AMERICAN MOBILE SYSTEMS INC
10090,AMSE,AMERICAN MOBILE SYSTEMS INC
10091,ITXI,INTERACTIVE TECHNOLOGIES INC
10092,LCIC,LEISURE CONCEPTS INC
10092,KIDE,4 KIDS ENTERTAINMENT INC
10092,KDE,4 KIDS ENTERTAINMENT INC
10092,KDE,4 KIDS ENTERTAINMENT INC
10093,AIRC,ASSOCIATED INNS & REST CO AMER
10093,AIRC,AIRCOA HOSPITALITY SVCS INC
10093,AIRC,AIRCOA HOSPITALITY SVCS INC
10094,TUES,TUESDAY MORNING INC
10094,TUES,TUESDAY MORNING CORP
10095,SYGN,SYNERGEN INC
10096,CIBA,CITIZENS BANK NC
10097,FACE,FACELIFTERS HOME SYSTEMS INC
10097,,FACELIFTERS HOME SYSTEMS INC
10097,FACE,FACELIFTERS HOME SYSTEMS INC
10097,FACE,FACELIFTERS HOME SYSTEMS INC
10097,FACE,FACELIFTERS HOME SYSTEMS INC
10097,FIX,FACELIFTERS HOME SYSTEMS INC
10097,FACE,FACELIFTERS HOME SYSTEMS INC
10098,PTEK,POLY TECH INC
10098,POLY,POLY TECH INC
10099,ABCI,AMERICAN BIOMATERIALS CORP
10100,AMCE,AMERICAN CLAIMS EVALUATION INC
10100,AMCE,AMERICAN CLAIMS EVALUATION INC
10100,ALRN,AMERICAN LEARNING CORP NY
10101,PACR,PACER CORP WA
10102,,AIR REDUCTION INC
10102,AN,AIR REDUCTION INC
10102,AN,AIR REDUCTION INC
10102,AN,AIRCO INC
10103,ACSC,A C S INDUSTRIES INC
10103,ACSC,A C S INDUSTRIES INC
10104,ORCL,ORACLE SYSTEMS CORP
10104,ORCL,ORACLE CORP
10104,ORCL,ORACLE CORP
10104,ORCL,ORACLE CORP
10105,TPPS,TOPS MARKETS INC
10106,LNSB,LINCOLN MUTUAL SAVINGS BANK
10106,LNSB,LINCOLN SAVINGS BANK CARNEGIE PA
10107,MSFT,MICROSOFT CORP
10108,SNDT,SUNGARD DATA SYSTEMS INC
10108,SDS,SUNGARD DATA SYSTEMS INC
10109,FCDA,FIRST FED S & L ASSN COEUR ID
10109,FCDA,FIRST FED S & L ASSN COEUR ID
10109,MWSB,MOUNTAIN WEST SAVINGS BANK F S B
10110,,AJAX RUBR INC
10111,,A D A FINANCIAL SERVICE CORP
10112,IFEX,IFEX INC
10113,AADR,ADVISORSHARES TRUST
10113,AADR,ADVISORSHARES TRUST
10114,AKLM,ACCLAIM ENTERTAINMENT INC
10114,AKLM,ACCLAIM ENTERTAINMENT INC
10114,AKLM,ACCLAIM ENTERTAINMENT INC
10115,CSBN,COMMUNITY SAVINGS BANK MA
10116,HADR,HALSEY DRUG INC
10116,HDG,HALSEY DRUG INC
10116,HDG,HALSEY DRUG INC
10116,HDG,HALSEY DRUG INC
10116,,HALSEY DRUG INC
10116,,ACURA PHARMACEUTICALS INC
10116,,ACURA PHARMACEUTICALS INC
10116,ACUR,ACURA PHARMACEUTICALS INC
10116,ACUR,ACURA PHARMACEUTICALS INC
10117,UMBE,U M B EQUITIES INC
